STUDENT,CLASS,PERIOD
 266,505G,  3
 266,506E,  5
 266,507B,  1
 268,301C,  5
 268,302C,  6
 268,303A,  3
 268,304G,  2
 268,313A,  7
 268,501B,  4
 268,502A,  1
 270,301F,  1
 270,302E,  2
 270,303G,  5
 270,304B,  3
 270,505C,  4
 270,506F,  7
 270,507E,  6
 272,301G,  4
 272,302B,  7
 272,303G,  5
 272,304B,  3
 272,313B,  2
 272,501C,  1
 272,502D,  6
 274,301E,  7
 274,302E,  2
 274,303D,  4
 274,304F,  5
 274,505G,  3
 274,506B,  1
 274,507E,  6
 276,301D,  2
 276,302G,  4
 276,303B,  6
 276,304B,  3
 276,313A,  7
 276,501E,  5
 276,502A,  1
 278,301A,  6
 278,302G,  4
 278,303C,  2
 278,304F,  5
 278,505E,  7
 278,506C,  3
 278,507B,  1
 280,301F,  1
 280,302C,  6
 280,303D,  4
 280,304F,  5
 280,313A,  7
 280,501F,  2
 280,502C,  3
 282,301D,  2
 282,302F,  5
 282,303F,  7
 282,304D,  4
 282,505D,  6
 282,506B,  1
 282,507F,  3
 284,301D,  2
 284,302G,  4
 284,303G,  5
 284,304E,  1
 284,313A,  7
 284,501A,  6
 284,502C,  3
 286,301G,  4
 286,302F,  5
 286,303F,  7
 286,304E,  1
 286,505D,  6
 286,506D,  2
 286,507F,  3
 288,301A,  6
 288,302A,  3
 288,303F,  7
 288,304F,  5
 288,313B,  2
 288,501C,  1
 288,502G,  4
 290,301B,  3
 290,302F,  5
 290,303C,  2
 290,304E,  1
 290,505E,  7
 290,506A,  6
 290,507G,  4
 292,301D,  2
 292,302G,  4
 292,303B,  6
 292,304F,  5
 292,313A,  7
 292,501G,  3
 292,502A,  1
 294,301A,  6
 294,302F,  5
 294,303D,  4
 294,304G,  2
 294,505E,  7
 294,506B,  1
 294,507F,  3
 296,301B,  3
 296,302C,  6
 296,303D,  4
 296,304E,  1
 296,313A,  7
 296,501E,  5
 296,502E,  2
 298,301F,  1
 298,302B,  7
 298,303D,  4
 298,304F,  5
 298,505B,  2
 298,506C,  3
 298,507E,  6
 300,301G,  4
 300,302A,  3
 300,303G,  5
 300,304C,  6
 300,313B,  2
 300,501D,  7
 300,502A,  1
 302,301E,  7
 302,302C,  6
 302,303A,  3
 302,304E,  1
 302,505B,  2
 302,506E,  5
 302,507G,  4
 304,301A,  6
 304,302D,  1
 304,303G,  5
 304,304B,  3
 304,313A,  7
 304,501F,  2
 304,502G,  4
 306,301E,  7
 306,302A,  3
 306,303E,  1
 306,304G,  2
 306,505D,  6
 306,506E,  5
 306,507G,  4
 308,301C,  5
 308,302C,  6
 308,303C,  2
 308,304B,  3
 308,313A,  7
 308,501C,  1
 308,502G,  4
 310,301E,  7
 310,302D,  1
 310,303A,  3
 310,304D,  4
 310,505F,  5
 310,506A,  6
 310,507D,  2
 312,301G,  4
 312,302B,  7
 312,303E,  1
 312,304C,  6
 312,313B,  2
 312,501E,  5
 312,502C,  3
 314,301C,  5
 314,302A,  3
 314,303D,  4
 314,304G,  2
 314,505A,  1
 314,506F,  7
 314,507E,  6
 316,301B,  3
 316,302F,  5
 316,303B,  6
 316,304D,  4
 316,313A,  7
 316,501C,  1
 316,502E,  2
 318,301G,  4
 318,302B,  7
 318,303B,  6
 318,304F,  5
 318,505A,  1
 318,506C,  3
 318,507D,  2
 320,301A,  6
 320,302B,  7
 320,303A,  3
 320,304D,  4
 320,313B,  2
 320,501C,  1
 320,502B,  5
 322,301B,  3
 322,302D,  1
 322,303D,  4
 322,304F,  5
 322,505E,  7
 322,506A,  6
 322,507D,  2
 324,301B,  3
 324,302B,  7
 324,303E,  1
 324,304D,  4
 324,313B,  2
 324,501E,  5
 324,502D,  6
 326,301E,  7
 326,302A,  3
 326,303D,  4
 326,304E,  1
 326,505D,  6
 326,506D,  2
 326,507A,  5
 328,301G,  4
 328,302F,  5
 328,303C,  2
 328,304C,  6
